pT_GeVc,pT_err_lo,pT_err_hi,sv0pt,stat_err,syst_err,total_err
0.64805168,0.030859604,0.032402584,-2.3530064,0.047087729,0.03499278,0.05866642
0.74811536,0.035624541,0.037405768,-1.4731152,0.05213524,0.031734376,0.061034039
0.84814608,0.040387909,0.042407304,-0.72610199,0.054669738,0.034100971,0.064433349
0.94816613,0.045150768,0.047408307,0.13073537,0.061907798,0.036762346,0.072000316
1.0928187,0.052038987,0.054640937,1.2255225,0.072187975,0.038594988,0.081857662
1.292897,0.061566523,0.064644849,2.7208567,0.05942145,0.04567978,0.074950324
1.4932363,0.071106491,0.074661815,4.1086264,0.083817124,0.055337091,0.10043657
1.6931865,0.08062793,0.084659326,5.2299385,0.10509323,0.067497597,0.12490201
1.8845866,0.089742218,0.094229329,6.4393554,0.12274418,0.079380112,0.1461757
2.0821126,0.099148217,0.10410563,7.4619513,0.1398661,0.092657346,0.16777339
2.2848694,0.10880331,0.11424347,8.196909,0.14545235,0.1097929,0.18223849
2.6278303,0.12513477,0.13139151,9.4638758,0.21200612,0.14037322,0.25426608
3.3043532,0.15735015,0.16521766,11.543139,0.15344451,0.21726857,0.26599032
4.0958443,0.1950402,0.20479221,12.442723,0.24402995,0.33048567,0.41081796
5.0567274,0.24079654,0.25283637,13.941942,0.50523233,0.50411762,0.71371863
6.7525673,0.32155082,0.33762836,15.990721,0.54502767,0.91563829,1.0655743
8.811451,0.4195929,0.44057255,18.448565,1.2192314,1.5871467,2.0013894
