pT_GeVc,pT_err_lo,pT_err_hi,v0pt,stat_err,syst_err,total_err
0.64805168,0.030859604,0.032402584,-0.03713423,0.00071920338,0.000436211,0.00084115013
0.74811536,0.035624541,0.037405768,-0.024371529,0.00063110335,0.00042013939,0.00075816129
0.84814608,0.040387909,0.042407304,-0.011972917,0.00058025803,0.00044874128,0.00073353127
0.94816613,0.045150768,0.047408307,0.00021682979,0.00069129001,0.00047827502,0.0008406122
1.0928187,0.052038987,0.054640937,0.018206136,0.00072524208,0.00052421861,0.0008948638
1.292897,0.061566523,0.064644849,0.041189604,0.00071414735,0.00066465682,0.00097558963
1.4932363,0.071106491,0.074661815,0.062626757,0.00089814415,0.00082675894,0.0012207347
1.6931865,0.08062793,0.084659326,0.080595791,0.0012182799,0.00099648462,0.0015739084
1.8845866,0.089742218,0.094229329,0.099011026,0.0015344111,0.0011567477,0.0019215833
2.0821126,0.099148217,0.10410563,0.11428872,0.0021774946,0.0013153361,0.0025439323
2.2848694,0.10880331,0.11424347,0.12755333,0.001839888,0.0014823713,0.0023627553
2.6278303,0.12513477,0.13139151,0.14639251,0.0024873959,0.0017464821,0.0030392989
3.3043532,0.15735015,0.16521766,0.16825749,0.0018910402,0.002226668,0.0029213154
4.0958443,0.1950402,0.20479221,0.18189706,0.0028511821,0.0029271236,0.004086232
5.0567274,0.24079654,0.25283637,0.18095371,0.0059874374,0.0042987451,0.0073707948
6.7525673,0.32155082,0.33762836,0.18530647,0.0073337923,0.0069378753,0.010095475
8.811451,0.4195929,0.44057255,0.21417183,0.01333228,0.01125532,0.017447978
