#: table_doi: 10.17182/hepdata.158359.v1/t21
#: name: Figure 4a_cent8
#: description: Data from Figure 4, panel a, $v_{0}(p_{T})$ for $p^{ref}_{T}$ = 0.5-2 GeV, $\eta_{gap}$=1, 60-70% Centrality
#: data_file: figure_4a_cent8.yaml
#: keyword cmenergies: 5020
#: keyword observables: $v_{0}(p_{T})$
#: keyword reactions: Pb+Pb —> CHARGED X
#: keyword phrases: Radial Flow Fluctuation | $p_{T}$ Differential Radial Flow | Collectivity
$p_{T}$ [GeV],$v_{0}(p_{T})$ (for 60-70% Centrality),statistical +,statistical -,systematic +,systematic -
0.55216,-0.053106,0.00012179,-0.00012179,0.0019827,-0.0019827
0.64781,-0.040761,0.00015723,-0.00015723,0.0017071,-0.0017071
0.74822,-0.028029,0.00016711,-0.00016711,0.0012253,-0.0012253
0.84811,-0.015045,0.00020046,-0.00020046,0.001015,-0.001015
0.94823,-0.0022049,0.00026779,-0.00026779,0.00088466,-0.00088466
1.0929,0.016898,0.00021888,-0.00021888,0.0010108,-0.0010108
1.2931,0.041547,0.00024953,-0.00024953,0.0016184,-0.0016184
1.4933,0.066126,0.00033507,-0.00033507,0.0025868,-0.0025868
1.6934,0.087207,0.00032154,-0.00032154,0.003293,-0.003293
1.8936,0.10809,0.00044478,-0.00044478,0.0037086,-0.0037086
2.0938,0.12702,0.00053596,-0.00053596,0.0046214,-0.0046214
2.294,0.14236,0.00060202,-0.00060202,0.0055663,-0.0055663
2.4943,0.15712,0.00095108,-0.00095108,0.0059821,-0.0059821
2.6944,0.17122,0.0011346,-0.0011346,0.0071766,-0.0071766
2.8946,0.18149,0.0011091,-0.0011091,0.0074043,-0.0074043
3.0947,0.19391,0.0013548,-0.0013548,0.0076123,-0.0076123
3.2952,0.20134,0.0013547,-0.0013547,0.0079687,-0.0079687
3.4953,0.20772,0.0019995,-0.0019995,0.0091406,-0.0091406
3.6955,0.21314,0.0017345,-0.0017345,0.0097616,-0.0097616
3.8957,0.21906,0.0023667,-0.0023667,0.0089475,-0.0089475
4.2252,0.22706,0.0021527,-0.0021527,0.010234,-0.010234
4.7287,0.23201,0.002469,-0.002469,0.01313,-0.01313
5.2286,0.24482,0.0031608,-0.0031608,0.014008,-0.014008
5.7305,0.25058,0.0039632,-0.0039632,0.014008,-0.014008
6.2351,0.25383,0.0049604,-0.0049604,0.014008,-0.014008
6.8401,0.26181,0.0049316,-0.0049316,0.014008,-0.014008
7.5977,0.28402,0.0067574,-0.0067574,0.014008,-0.014008
8.4564,0.29438,0.0076155,-0.0076155,0.014008,-0.014008
9.4548,0.28787,0.013566,-0.013566,0.014008,-0.014008

